Id2,Geography,Estimate; Total Number of Housing Units,Margin of Error; Total
6081602100,"Census Tract 6021, San Mateo County, California",1009,43
6081602200,"Census Tract 6022, San Mateo County, California",2526,96
6081602300,"Census Tract 6023, San Mateo County, California",1159,80
6081602400,"Census Tract 6024, San Mateo County, California",2720,87
6081602500,"Census Tract 6025, San Mateo County, California",1496,49
6081602600,"Census Tract 6026, San Mateo County, California",2548,92
6081602700,"Census Tract 6027, San Mateo County, California",1879,62
6081602800,"Census Tract 6028, San Mateo County, California",1478,46
6081602900,"Census Tract 6029, San Mateo County, California",1648,65
6081603000,"Census Tract 6030, San Mateo County, California",1889,100
6081603100,"Census Tract 6031, San Mateo County, California",1203,38
6081603200,"Census Tract 6032, San Mateo County, California",1431,43
6081603300,"Census Tract 6033, San Mateo County, California",2412,61
6081603400,"Census Tract 6034, San Mateo County, California",2086,58
6081603500,"Census Tract 6035, San Mateo County, California",0,132
6081603600,"Census Tract 6036, San Mateo County, California",1819,96
6081603700,"Census Tract 6037, San Mateo County, California",1684,58
6081603800,"Census Tract 6038, San Mateo County, California",4061,133
6081603900,"Census Tract 6039, San Mateo County, California",2020,100
6081604000,"Census Tract 6040, San Mateo County, California",1106,43
6081604101,"Census Tract 6041.01, San Mateo County, California",2487,90
6081604102,"Census Tract 6041.02, San Mateo County, California",1247,62
6081604200,"Census Tract 6042, San Mateo County, California",1061,73
6081604300,"Census Tract 6043, San Mateo County, California",0,132
6081604400,"Census Tract 6044, San Mateo County, California",1476,86
6081604500,"Census Tract 6045, San Mateo County, California",1358,52
6081604600,"Census Tract 6046, San Mateo County, California",930,38
6081604700,"Census Tract 6047, San Mateo County, California",1004,40
6081604800,"Census Tract 6048, San Mateo County, California",1948,88
6081604900,"Census Tract 6049, San Mateo County, California",1295,64
6081605000,"Census Tract 6050, San Mateo County, California",2790,152
6081605100,"Census Tract 6051, San Mateo County, California",1304,94
6081605200,"Census Tract 6052, San Mateo County, California",1206,87
6081605300,"Census Tract 6053, San Mateo County, California",1764,134
6081605400,"Census Tract 6054, San Mateo County, California",2428,169
6081605500,"Census Tract 6055, San Mateo County, California",2569,170
6081605600,"Census Tract 6056, San Mateo County, California",1952,98
6081605700,"Census Tract 6057, San Mateo County, California",1870,81
6081605800,"Census Tract 6058, San Mateo County, California",1063,49
6081605900,"Census Tract 6059, San Mateo County, California",2711,67
6081606000,"Census Tract 6060, San Mateo County, California",2303,70
6081606100,"Census Tract 6061, San Mateo County, California",1298,72
6081606200,"Census Tract 6062, San Mateo County, California",2275,99
6081606300,"Census Tract 6063, San Mateo County, California",1889,87
6081606400,"Census Tract 6064, San Mateo County, California",2665,85
6081606500,"Census Tract 6065, San Mateo County, California",1299,36
6081606600,"Census Tract 6066, San Mateo County, California",1366,41
6081606700,"Census Tract 6067, San Mateo County, California",965,29
6081606800,"Census Tract 6068, San Mateo County, California",1425,34
6081606900,"Census Tract 6069, San Mateo County, California",1008,38
6081607000,"Census Tract 6070, San Mateo County, California",1458,46
6081607100,"Census Tract 6071, San Mateo County, California",1114,26
6081607200,"Census Tract 6072, San Mateo County, California",1688,49
6081607300,"Census Tract 6073, San Mateo County, California",1334,35
6081607400,"Census Tract 6074, San Mateo County, California",1865,70
6081607500,"Census Tract 6075, San Mateo County, California",1621,69
6081607600,"Census Tract 6076, San Mateo County, California",1263,39
6081607701,"Census Tract 6077.01, San Mateo County, California",1163,81
6081607702,"Census Tract 6077.02, San Mateo County, California",793,29
6081607800,"Census Tract 6078, San Mateo County, California",937,52
6081607900,"Census Tract 6079, San Mateo County, California",1680,114
6081608001,"Census Tract 6080.01, San Mateo County, California",1344,60
6081608002,"Census Tract 6080.02, San Mateo County, California",1421,47
6081608004,"Census Tract 6080.04, San Mateo County, California",2976,102
6081608013,"Census Tract 6080.13, San Mateo County, California",1509,64
6081608023,"Census Tract 6080.23, San Mateo County, California",819,31
6081608100,"Census Tract 6081, San Mateo County, California",1190,45
6081608200,"Census Tract 6082, San Mateo County, California",1292,44
6081608300,"Census Tract 6083, San Mateo County, California",1333,46
6081608400,"Census Tract 6084, San Mateo County, California",2272,78
6081608501,"Census Tract 6085.01, San Mateo County, California",1753,47
6081608502,"Census Tract 6085.02, San Mateo County, California",1155,50
6081608600,"Census Tract 6086, San Mateo County, California",1831,88
6081608700,"Census Tract 6087, San Mateo County, California",2759,94
6081608800,"Census Tract 6088, San Mateo County, California",2133,72
6081608900,"Census Tract 6089, San Mateo County, California",3099,104
6081609000,"Census Tract 6090, San Mateo County, California",1029,47
6081609100,"Census Tract 6091, San Mateo County, California",543,41
6081609200,"Census Tract 6092, San Mateo County, California",3338,124
6081609300,"Census Tract 6093, San Mateo County, California",1248,38
6081609400,"Census Tract 6094, San Mateo County, California",1046,48
6081609500,"Census Tract 6095, San Mateo County, California",1722,53
6081609601,"Census Tract 6096.01, San Mateo County, California",1195,47
6081609602,"Census Tract 6096.02, San Mateo County, California",647,22
6081609603,"Census Tract 6096.03, San Mateo County, California",2075,48
6081609700,"Census Tract 6097, San Mateo County, California",1820,76
6081609800,"Census Tract 6098, San Mateo County, California",1738,47
6081609900,"Census Tract 6099, San Mateo County, California",1059,33
6081610000,"Census Tract 6100, San Mateo County, California",1962,85
6081610100,"Census Tract 6101, San Mateo County, California",864,52
6081610201,"Census Tract 6102.01, San Mateo County, California",1712,72
6081610202,"Census Tract 6102.02, San Mateo County, California",724,39
6081610203,"Census Tract 6102.03, San Mateo County, California",903,43
6081610302,"Census Tract 6103.02, San Mateo County, California",1012,123
6081610303,"Census Tract 6103.03, San Mateo County, California",2989,89
6081610304,"Census Tract 6103.04, San Mateo County, California",1887,60
6081610400,"Census Tract 6104, San Mateo County, California",1539,67
6081610500,"Census Tract 6105, San Mateo County, California",1448,75
6081610601,"Census Tract 6106.01, San Mateo County, California",1753,85
6081610602,"Census Tract 6106.02, San Mateo County, California",1316,52
6081610700,"Census Tract 6107, San Mateo County, California",1962,78
6081610800,"Census Tract 6108, San Mateo County, California",1558,61
6081610900,"Census Tract 6109, San Mateo County, California",2367,80
6081611000,"Census Tract 6110, San Mateo County, California",2255,70
6081611100,"Census Tract 6111, San Mateo County, California",2264,66
6081611200,"Census Tract 6112, San Mateo County, California",1049,31
6081611300,"Census Tract 6113, San Mateo County, California",2117,85
6081611400,"Census Tract 6114, San Mateo County, California",1531,135
6081611500,"Census Tract 6115, San Mateo County, California",926,95
6081611600,"Census Tract 6116, San Mateo County, California",793,39
6081611700,"Census Tract 6117, San Mateo County, California",1285,79
6081611800,"Census Tract 6118, San Mateo County, California",1207,100
6081611900,"Census Tract 6119, San Mateo County, California",3345,238
6081612000,"Census Tract 6120, San Mateo County, California",2086,150
6081612100,"Census Tract 6121, San Mateo County, California",3677,202
6081612200,"Census Tract 6122, San Mateo County, California",1689,78
6081612400,"Census Tract 6124, San Mateo County, California",472,45
6081612500,"Census Tract 6125, San Mateo County, California",2118,95
6081612600,"Census Tract 6126, San Mateo County, California",2172,130
6081612700,"Census Tract 6127, San Mateo County, California",807,40
6081612800,"Census Tract 6128, San Mateo County, California",1190,49
6081612900,"Census Tract 6129, San Mateo County, California",2053,66
6081613000,"Census Tract 6130, San Mateo County, California",1562,76
6081613200,"Census Tract 6132, San Mateo County, California",2745,222
6081613300,"Census Tract 6133, San Mateo County, California",971,88
6081613400,"Census Tract 6134, San Mateo County, California",1428,91
6081613501,"Census Tract 6135.01, San Mateo County, California",1427,114
6081613502,"Census Tract 6135.02, San Mateo County, California",2458,79
6081613600,"Census Tract 6136, San Mateo County, California",2285,121
6081613700,"Census Tract 6137, San Mateo County, California",3749,230
6081613800,"Census Tract 6138, San Mateo County, California",2079,136
6083000101,"Census Tract 1.01, Santa Barbara County, California",2346,97
6083000102,"Census Tract 1.02, Santa Barbara County, California",2456,119
6083000103,"Census Tract 1.03, Santa Barbara County, California",1308,35
6083000200,"Census Tract 2, Santa Barbara County, California",2184,93
6083000300,"Census Tract 3, Santa Barbara County, California",3388,179
6083000400,"Census Tract 4, Santa Barbara County, California",2512,109
6083000501,"Census Tract 5.01, Santa Barbara County, California",1486,88
6083000502,"Census Tract 5.02, Santa Barbara County, California",2475,107
6083000600,"Census Tract 6, Santa Barbara County, California",2490,98
6083000700,"Census Tract 7, Santa Barbara County, California",2487,77
6083000801,"Census Tract 8.01, Santa Barbara County, California",1171,72
6083000802,"Census Tract 8.02, Santa Barbara County, California",2414,117
6083000900,"Census Tract 9, Santa Barbara County, California",1459,66
6083001000,"Census Tract 10, Santa Barbara County, California",2921,145
6083001101,"Census Tract 11.01, Santa Barbara County, California",1596,90
6083001102,"Census Tract 11.02, Santa Barbara County, California",1363,62
6083001202,"Census Tract 12.02, Santa Barbara County, California",1825,71
6083001203,"Census Tract 12.03, Santa Barbara County, California",1373,87
6083001204,"Census Tract 12.04, Santa Barbara County, California",1651,78
6083001301,"Census Tract 13.01, Santa Barbara County, California",1596,77
6083001302,"Census Tract 13.02, Santa Barbara County, California",3105,115
6083001400,"Census Tract 14, Santa Barbara County, California",1971,73
6083001500,"Census Tract 15, Santa Barbara County, California",1610,57
6083001601,"Census Tract 16.01, Santa Barbara County, California",1907,91
6083001602,"Census Tract 16.02, Santa Barbara County, California",2635,142
6083001701,"Census Tract 17.01, Santa Barbara County, California",2245,123
6083001702,"Census Tract 17.02, Santa Barbara County, California",1193,63
6083001800,"Census Tract 18, Santa Barbara County, California",572,43
6083001901,"Census Tract 19.01, Santa Barbara County, California",2458,230
6083001903,"Census Tract 19.03, Santa Barbara County, California",2380,250
6083001905,"Census Tract 19.05, Santa Barbara County, California",1470,38
6083001906,"Census Tract 19.06, Santa Barbara County, California",2535,136
6083002005,"Census Tract 20.05, Santa Barbara County, California",1919,79
6083002006,"Census Tract 20.06, Santa Barbara County, California",892,36
6083002007,"Census Tract 20.07, Santa Barbara County, California",3250,113
6083002008,"Census Tract 20.08, Santa Barbara County, California",2327,67
6083002009,"Census Tract 20.09, Santa Barbara County, California",1349,47
6083002010,"Census Tract 20.10, Santa Barbara County, California",1600,57
6083002011,"Census Tract 20.11, Santa Barbara County, California",1983,58
6083002012,"Census Tract 20.12, Santa Barbara County, California",1242,81
6083002013,"Census Tract 20.13, Santa Barbara County, California",1038,53
6083002101,"Census Tract 21.01, Santa Barbara County, California",1262,56
6083002102,"Census Tract 21.02, Santa Barbara County, California",731,56
6083002103,"Census Tract 21.03, Santa Barbara County, California",1504,84
6083002205,"Census Tract 22.05, Santa Barbara County, California",1313,85
6083002206,"Census Tract 22.06, Santa Barbara County, California",1534,77
6083002209,"Census Tract 22.09, Santa Barbara County, California",849,41
6083002210,"Census Tract 22.10, Santa Barbara County, California",1524,53
6083002211,"Census Tract 22.11, Santa Barbara County, California",1858,72
6083002303,"Census Tract 23.03, Santa Barbara County, California",1343,52
6083002304,"Census Tract 23.04, Santa Barbara County, California",1427,59
6083002305,"Census Tract 23.05, Santa Barbara County, California",1420,60
6083002306,"Census Tract 23.06, Santa Barbara County, California",2325,59
6083002402,"Census Tract 24.02, Santa Barbara County, California",2711,118
6083002403,"Census Tract 24.03, Santa Barbara County, California",1475,74
6083002404,"Census Tract 24.04, Santa Barbara County, California",1775,74
6083002500,"Census Tract 25, Santa Barbara County, California",2213,203
6083002603,"Census Tract 26.03, Santa Barbara County, California",1582,156
6083002604,"Census Tract 26.04, Santa Barbara County, California",105,57
6083002702,"Census Tract 27.02, Santa Barbara County, California",2450,97
6083002703,"Census Tract 27.03, Santa Barbara County, California",1405,50
6083002705,"Census Tract 27.05, Santa Barbara County, California",1622,75
6083002706,"Census Tract 27.06, Santa Barbara County, California",2062,103
6083002707,"Census Tract 27.07, Santa Barbara County, California",1042,56
6083002708,"Census Tract 27.08, Santa Barbara County, California",1200,79
6083002802,"Census Tract 28.02, Santa Barbara County, California",2674,129
6083002805,"Census Tract 28.05, Santa Barbara County, California",400,39
6083002806,"Census Tract 28.06, Santa Barbara County, California",638,60
6083002807,"Census Tract 28.07, Santa Barbara County, California",894,44
6083002808,"Census Tract 28.08, Santa Barbara County, California",2598,110
6083002809,"Census Tract 28.09, Santa Barbara County, California",1739,77
6083002902,"Census Tract 29.02, Santa Barbara County, California",1647,99
6083002903,"Census Tract 29.03, Santa Barbara County, California",1028,76
6083002904,"Census Tract 29.04, Santa Barbara County, California",3328,148
6083002906,"Census Tract 29.06, Santa Barbara County, California",1474,77
6083002907,"Census Tract 29.07, Santa Barbara County, California",1464,44
6083002909,"Census Tract 29.09, Santa Barbara County, California",1816,79
6083002910,"Census Tract 29.10, Santa Barbara County, California",926,47
6083002911,"Census Tract 29.11, Santa Barbara County, California",2054,138
6083002912,"Census Tract 29.12, Santa Barbara County, California",1904,119
6083002913,"Census Tract 29.13, Santa Barbara County, California",1484,40
6083002914,"Census Tract 29.14, Santa Barbara County, California",1407,70
6083003001,"Census Tract 30.01, Santa Barbara County, California",2171,118
6083003002,"Census Tract 30.02, Santa Barbara County, California",1539,60
6083003004,"Census Tract 30.04, Santa Barbara County, California",1598,77
6083003005,"Census Tract 30.05, Santa Barbara County, California",1612,56
6085500100,"Census Tract 5001, Santa Clara County, California",2005,86
6085500200,"Census Tract 5002, Santa Clara County, California",2102,97
6085500300,"Census Tract 5003, Santa Clara County, California",1201,40
6085500400,"Census Tract 5004, Santa Clara County, California",1079,45
6085500500,"Census Tract 5005, Santa Clara County, California",1961,76
6085500600,"Census Tract 5006, Santa Clara County, California",2177,59
6085500800,"Census Tract 5008, Santa Clara County, California",1213,56
6085500901,"Census Tract 5009.01, Santa Clara County, California",1810,92
6085500902,"Census Tract 5009.02, Santa Clara County, California",656,71
6085501000,"Census Tract 5010, Santa Clara County, California",2080,121
6085501100,"Census Tract 5011, Santa Clara County, California",3263,99
6085501200,"Census Tract 5012, Santa Clara County, California",1401,64
6085501300,"Census Tract 5013, Santa Clara County, California",1220,58
6085501400,"Census Tract 5014, Santa Clara County, California",1907,76
6085501501,"Census Tract 5015.01, Santa Clara County, California",1155,41
6085501502,"Census Tract 5015.02, Santa Clara County, California",1090,26
6085501600,"Census Tract 5016, Santa Clara County, California",2507,73
6085501700,"Census Tract 5017, Santa Clara County, California",1333,61
6085501800,"Census Tract 5018, Santa Clara County, California",1769,52
6085501900,"Census Tract 5019, Santa Clara County, California",1875,59
6085502001,"Census Tract 5020.01, Santa Clara County, California",2098,101
6085502002,"Census Tract 5020.02, Santa Clara County, California",1707,40
6085502101,"Census Tract 5021.01, Santa Clara County, California",2097,34
6085502102,"Census Tract 5021.02, Santa Clara County, California",2735,52
6085502201,"Census Tract 5022.01, Santa Clara County, California",2723,49
6085502202,"Census Tract 5022.02, Santa Clara County, California",1510,27
6085502300,"Census Tract 5023, Santa Clara County, California",2703,106
6085502400,"Census Tract 5024, Santa Clara County, California",3028,42
6085502500,"Census Tract 5025, Santa Clara County, California",2561,81
6085502601,"Census Tract 5026.01, Santa Clara County, California",1214,64
6085502602,"Census Tract 5026.02, Santa Clara County, California",3358,124
6085502701,"Census Tract 5027.01, Santa Clara County, California",2175,34
6085502702,"Census Tract 5027.02, Santa Clara County, California",3175,51
6085502800,"Census Tract 5028, Santa Clara County, California",1392,73
6085502901,"Census Tract 5029.01, Santa Clara County, California",2252,40
6085502902,"Census Tract 5029.02, Santa Clara County, California",2668,38
6085502903,"Census Tract 5029.03, Santa Clara County, California",2033,31
6085502906,"Census Tract 5029.06, Santa Clara County, California",1766,30
6085502907,"Census Tract 5029.07, Santa Clara County, California",1380,22
6085502908,"Census Tract 5029.08, Santa Clara County, California",2443,78
6085502909,"Census Tract 5029.09, Santa Clara County, California",2145,27
6085502910,"Census Tract 5029.10, Santa Clara County, California",1524,35
6085503001,"Census Tract 5030.01, Santa Clara County, California",1641,60
6085503002,"Census Tract 5030.02, Santa Clara County, California",1396,37
6085503003,"Census Tract 5030.03, Santa Clara County, California",1864,25
6085503103,"Census Tract 5031.03, Santa Clara County, California",4379,72
6085503105,"Census Tract 5031.05, Santa Clara County, California",771,25
6085503106,"Census Tract 5031.06, Santa Clara County, California",2568,51
6085503108,"Census Tract 5031.08, Santa Clara County, California",2912,49
6085503110,"Census Tract 5031.10, Santa Clara County, California",1152,33
6085503111,"Census Tract 5031.11, Santa Clara County, California",1099,33
6085503112,"Census Tract 5031.12, Santa Clara County, California",1338,72
6085503113,"Census Tract 5031.13, Santa Clara County, California",1255,45
6085503115,"Census Tract 5031.15, Santa Clara County, California",2308,65
6085503116,"Census Tract 5031.16, Santa Clara County, California",2163,34
6085503204,"Census Tract 5032.04, Santa Clara County, California",2213,62
6085503207,"Census Tract 5032.07, Santa Clara County, California",1008,47
6085503208,"Census Tract 5032.08, Santa Clara County, California",829,23
6085503210,"Census Tract 5032.10, Santa Clara County, California",976,32
6085503211,"Census Tract 5032.11, Santa Clara County, California",1140,42
6085503212,"Census Tract 5032.12, Santa Clara County, California",960,35
6085503213,"Census Tract 5032.13, Santa Clara County, California",1250,25
6085503214,"Census Tract 5032.14, Santa Clara County, California",1614,71
6085503217,"Census Tract 5032.17, Santa Clara County, California",1099,35
6085503218,"Census Tract 5032.18, Santa Clara County, California",1170,44
6085503304,"Census Tract 5033.04, Santa Clara County, California",1906,42
6085503305,"Census Tract 5033.05, Santa Clara County, California",1458,56
6085503306,"Census Tract 5033.06, Santa Clara County, California",898,22
6085503312,"Census Tract 5033.12, Santa Clara County, California",1034,25
6085503313,"Census Tract 5033.13, Santa Clara County, California",1419,22
6085503315,"Census Tract 5033.15, Santa Clara County, California",2014,36
6085503317,"Census Tract 5033.17, Santa Clara County, California",2009,32
6085503319,"Census Tract 5033.19, Santa Clara County, California",3045,43
6085503320,"Census Tract 5033.20, Santa Clara County, California",4107,60
6085503321,"Census Tract 5033.21, Santa Clara County, California",1086,24
6085503322,"Census Tract 5033.22, Santa Clara County, California",1059,21
6085503323,"Census Tract 5033.23, Santa Clara County, California",1221,28
6085503324,"Census Tract 5033.24, Santa Clara County, California",928,25
6085503325,"Census Tract 5033.25, Santa Clara County, California",1179,25
6085503326,"Census Tract 5033.26, Santa Clara County, California",1525,60
6085503327,"Census Tract 5033.27, Santa Clara County, California",1339,55
6085503328,"Census Tract 5033.28, Santa Clara County, California",3857,47
6085503401,"Census Tract 5034.01, Santa Clara County, California",1029,31
6085503402,"Census Tract 5034.02, Santa Clara County, California",1052,25
6085503504,"Census Tract 5035.04, Santa Clara County, California",1168,29
6085503506,"Census Tract 5035.06, Santa Clara County, California",1300,37
6085503507,"Census Tract 5035.07, Santa Clara County, California",349,20
6085503508,"Census Tract 5035.08, Santa Clara County, California",1337,30
6085503509,"Census Tract 5035.09, Santa Clara County, California",905,39
6085503510,"Census Tract 5035.10, Santa Clara County, California",1433,31
6085503511,"Census Tract 5035.11, Santa Clara County, California",836,34
6085503601,"Census Tract 5036.01, Santa Clara County, California",992,24
6085503602,"Census Tract 5036.02, Santa Clara County, California",1245,28
6085503702,"Census Tract 5037.02, Santa Clara County, California",1884,99
6085503703,"Census Tract 5037.03, Santa Clara County, California",896,29
6085503706,"Census Tract 5037.06, Santa Clara County, California",2377,102
6085503707,"Census Tract 5037.07, Santa Clara County, California",1477,57
6085503708,"Census Tract 5037.08, Santa Clara County, California",747,22
6085503709,"Census Tract 5037.09, Santa Clara County, California",1395,41
6085503802,"Census Tract 5038.02, Santa Clara County, California",2265,65
6085503803,"Census Tract 5038.03, Santa Clara County, California",1417,33
6085503804,"Census Tract 5038.04, Santa Clara County, California",1500,67
6085503900,"Census Tract 5039, Santa Clara County, California",2279,90
6085504001,"Census Tract 5040.01, Santa Clara County, California",1639,44
6085504002,"Census Tract 5040.02, Santa Clara County, California",1292,25
6085504101,"Census Tract 5041.01, Santa Clara County, California",964,65
6085504102,"Census Tract 5041.02, Santa Clara County, California",1306,47
6085504201,"Census Tract 5042.01, Santa Clara County, California",1684,79
6085504202,"Census Tract 5042.02, Santa Clara County, California",1514,42
6085504307,"Census Tract 5043.07, Santa Clara County, California",1711,27
6085504308,"Census Tract 5043.08, Santa Clara County, California",1497,55
6085504310,"Census Tract 5043.10, Santa Clara County, California",3862,50
6085504311,"Census Tract 5043.11, Santa Clara County, California",2428,42
6085504314,"Census Tract 5043.14, Santa Clara County, California",1300,19
6085504315,"Census Tract 5043.15, Santa Clara County, California",2061,34
6085504316,"Census Tract 5043.16, Santa Clara County, California",1384,26
6085504317,"Census Tract 5043.17, Santa Clara County, California",1293,22
6085504318,"Census Tract 5043.18, Santa Clara County, California",1333,141
6085504319,"Census Tract 5043.19, Santa Clara County, California",1932,30
6085504320,"Census Tract 5043.20, Santa Clara County, California",841,25
6085504321,"Census Tract 5043.21, Santa Clara County, California",1585,24
6085504410,"Census Tract 5044.10, Santa Clara County, California",1240,28
6085504411,"Census Tract 5044.11, Santa Clara County, California",1583,27
6085504412,"Census Tract 5044.12, Santa Clara County, California",1351,46
6085504413,"Census Tract 5044.13, Santa Clara County, California",739,24
6085504414,"Census Tract 5044.14, Santa Clara County, California",1482,44
6085504415,"Census Tract 5044.15, Santa Clara County, California",1619,49
6085504416,"Census Tract 5044.16, Santa Clara County, California",1155,39
6085504417,"Census Tract 5044.17, Santa Clara County, California",777,25
6085504418,"Census Tract 5044.18, Santa Clara County, California",1312,57
6085504420,"Census Tract 5044.20, Santa Clara County, California",1367,72
6085504421,"Census Tract 5044.21, Santa Clara County, California",1385,49
6085504422,"Census Tract 5044.22, Santa Clara County, California",1278,43
6085504504,"Census Tract 5045.04, Santa Clara County, California",2201,71
6085504505,"Census Tract 5045.05, Santa Clara County, California",1115,37
6085504506,"Census Tract 5045.06, Santa Clara County, California",2129,77
6085504507,"Census Tract 5045.07, Santa Clara County, California",1702,51
6085504601,"Census Tract 5046.01, Santa Clara County, California",629,102
6085504602,"Census Tract 5046.02, Santa Clara County, California",783,38
6085504700,"Census Tract 5047, Santa Clara County, California",75,66
6085504802,"Census Tract 5048.02, Santa Clara County, California",1723,43
6085504803,"Census Tract 5048.03, Santa Clara County, California",2362,55
6085504805,"Census Tract 5048.05, Santa Clara County, California",2214,70
6085504806,"Census Tract 5048.06, Santa Clara County, California",727,27
6085504901,"Census Tract 5049.01, Santa Clara County, California",2916,102
6085505001,"Census Tract 5050.01, Santa Clara County, California",3453,109
6085505005,"Census Tract 5050.05, Santa Clara County, California",4900,82
6085505006,"Census Tract 5050.06, Santa Clara County, California",2048,37
6085505007,"Census Tract 5050.07, Santa Clara County, California",966,34
6085505100,"Census Tract 5051, Santa Clara County, California",1332,43
6085505202,"Census Tract 5052.02, Santa Clara County, California",2149,96
6085505203,"Census Tract 5052.03, Santa Clara County, California",1116,45
6085505301,"Census Tract 5053.01, Santa Clara County, California",1330,41
6085505302,"Census Tract 5053.02, Santa Clara County, California",1433,56
6085505303,"Census Tract 5053.03, Santa Clara County, California",2176,69
6085505304,"Census Tract 5053.04, Santa Clara County, California",1065,31
6085505305,"Census Tract 5053.05, Santa Clara County, California",2097,65
6085505401,"Census Tract 5054.01, Santa Clara County, California",2446,97
6085505402,"Census Tract 5054.02, Santa Clara County, California",1153,47
6085505403,"Census Tract 5054.03, Santa Clara County, California",2706,70
6085505500,"Census Tract 5055, Santa Clara County, California",1597,50
6085505600,"Census Tract 5056, Santa Clara County, California",1266,63
6085505700,"Census Tract 5057, Santa Clara County, California",2283,68
6085505800,"Census Tract 5058, Santa Clara County, California",1703,32
6085505900,"Census Tract 5059, Santa Clara County, California",3107,70
6085506000,"Census Tract 5060, Santa Clara County, California",2018,58
6085506101,"Census Tract 5061.01, Santa Clara County, California",1709,46
6085506102,"Census Tract 5061.02, Santa Clara County, California",1513,49
6085506103,"Census Tract 5061.03, Santa Clara County, California",1691,47
6085506202,"Census Tract 5062.02, Santa Clara County, California",2587,80
6085506203,"Census Tract 5062.03, Santa Clara County, California",2623,38
6085506204,"Census Tract 5062.04, Santa Clara County, California",2213,34
6085506301,"Census Tract 5063.01, Santa Clara County, California",2384,193
6085506302,"Census Tract 5063.02, Santa Clara County, California",2561,77
6085506304,"Census Tract 5063.04, Santa Clara County, California",2242,53
6085506305,"Census Tract 5063.05, Santa Clara County, California",2715,54
6085506401,"Census Tract 5064.01, Santa Clara County, California",1979,40
6085506402,"Census Tract 5064.02, Santa Clara County, California",2340,45
6085506501,"Census Tract 5065.01, Santa Clara County, California",2613,41
6085506502,"Census Tract 5065.02, Santa Clara County, California",1991,104
6085506503,"Census Tract 5065.03, Santa Clara County, California",2738,109
6085506601,"Census Tract 5066.01, Santa Clara County, California",1810,29
6085506603,"Census Tract 5066.03, Santa Clara County, California",1457,29
6085506604,"Census Tract 5066.04, Santa Clara County, California",2728,49
6085506605,"Census Tract 5066.05, Santa Clara County, California",1618,34
6085506606,"Census Tract 5066.06, Santa Clara County, California",1713,52
6085506701,"Census Tract 5067.01, Santa Clara County, California",1406,46
6085506702,"Census Tract 5067.02, Santa Clara County, California",2132,84
6085506703,"Census Tract 5067.03, Santa Clara County, California",1407,44
6085506801,"Census Tract 5068.01, Santa Clara County, California",2183,81
6085506802,"Census Tract 5068.02, Santa Clara County, California",1982,58
6085506803,"Census Tract 5068.03, Santa Clara County, California",2556,52
6085506804,"Census Tract 5068.04, Santa Clara County, California",1354,35
6085506900,"Census Tract 5069, Santa Clara County, California",2701,70
6085507001,"Census Tract 5070.01, Santa Clara County, California",2980,163
6085507002,"Census Tract 5070.02, Santa Clara County, California",1031,39
6085507100,"Census Tract 5071, Santa Clara County, California",1283,71
6085507203,"Census Tract 5072.03, Santa Clara County, California",909,55
6085507205,"Census Tract 5072.05, Santa Clara County, California",1840,79
6085507206,"Census Tract 5072.06, Santa Clara County, California",905,162
6085507301,"Census Tract 5073.01, Santa Clara County, California",2431,89
6085507302,"Census Tract 5073.02, Santa Clara County, California",1024,51
6085507401,"Census Tract 5074.01, Santa Clara County, California",1878,69
6085507402,"Census Tract 5074.02, Santa Clara County, California",1489,45
6085507500,"Census Tract 5075, Santa Clara County, California",1971,60
6085507600,"Census Tract 5076, Santa Clara County, California",2014,59
6085507701,"Census Tract 5077.01, Santa Clara County, California",1258,80
6085507702,"Census Tract 5077.02, Santa Clara County, California",1955,57
6085507703,"Census Tract 5077.03, Santa Clara County, California",2430,95
6085507805,"Census Tract 5078.05, Santa Clara County, California",1735,77
6085507806,"Census Tract 5078.06, Santa Clara County, California",1911,57
6085507807,"Census Tract 5078.07, Santa Clara County, California",971,31
6085507808,"Census Tract 5078.08, Santa Clara County, California",1668,72
6085507903,"Census Tract 5079.03, Santa Clara County, California",1678,52
6085507904,"Census Tract 5079.04, Santa Clara County, California",1132,22
6085507905,"Census Tract 5079.05, Santa Clara County, California",2209,49
6085507906,"Census Tract 5079.06, Santa Clara County, California",1449,56
6085508001,"Census Tract 5080.01, Santa Clara County, California",2693,72
6085508002,"Census Tract 5080.02, Santa Clara County, California",2841,105
6085508101,"Census Tract 5081.01, Santa Clara County, California",2271,64
6085508102,"Census Tract 5081.02, Santa Clara County, California",1119,47
6085508202,"Census Tract 5082.02, Santa Clara County, California",2783,75
6085508203,"Census Tract 5082.03, Santa Clara County, California",1753,43
6085508204,"Census Tract 5082.04, Santa Clara County, California",1483,37
6085508301,"Census Tract 5083.01, Santa Clara County, California",1468,39
6085508303,"Census Tract 5083.03, Santa Clara County, California",864,30
6085508304,"Census Tract 5083.04, Santa Clara County, California",2716,124
6085508401,"Census Tract 5084.01, Santa Clara County, California",2437,58
6085508403,"Census Tract 5084.03, Santa Clara County, California",976,28
6085508404,"Census Tract 5084.04, Santa Clara County, California",2281,57
6085508503,"Census Tract 5085.03, Santa Clara County, California",2735,73
6085508504,"Census Tract 5085.04, Santa Clara County, California",3122,77
6085508505,"Census Tract 5085.05, Santa Clara County, California",1854,71
6085508506,"Census Tract 5085.06, Santa Clara County, California",3296,68
