Id2,Geography,Total number of households,Total number of households- MOE,Median income (dollars); All households,Median income (dollars)- MOE; All households
6083002103,"Census Tract 21.03, Santa Barbara County, California",1436,98,45900,8154
6083002205,"Census Tract 22.05, Santa Barbara County, California",1247,104,38750,11086
6083002206,"Census Tract 22.06, Santa Barbara County, California",1425,85,36928,5922
6083002209,"Census Tract 22.09, Santa Barbara County, California",741,79,52138,9983
6083002210,"Census Tract 22.10, Santa Barbara County, California",1460,72,71940,6336
6083002211,"Census Tract 22.11, Santa Barbara County, California",1788,102,65424,11761
6083002303,"Census Tract 23.03, Santa Barbara County, California",1243,76,46493,10120
6083002304,"Census Tract 23.04, Santa Barbara County, California",1285,97,38432,5738
6083002305,"Census Tract 23.05, Santa Barbara County, California",1381,70,49884,4955
6083002306,"Census Tract 23.06, Santa Barbara County, California",2224,92,51679,6093
6083002402,"Census Tract 24.02, Santa Barbara County, California",2558,118,46337,7051
6083002403,"Census Tract 24.03, Santa Barbara County, California",1450,82,30531,4085
6083002404,"Census Tract 24.04, Santa Barbara County, California",1666,96,39273,3963
6083002500,"Census Tract 25, Santa Barbara County, California",2053,166,40895,2420
6083002603,"Census Tract 26.03, Santa Barbara County, California",1201,159,49819,7169
6083002604,"Census Tract 26.04, Santa Barbara County, California",54,38,83333,71794
6083002702,"Census Tract 27.02, Santa Barbara County, California",2183,130,27642,4079
6083002703,"Census Tract 27.03, Santa Barbara County, California",1253,101,49119,9208
6083002705,"Census Tract 27.05, Santa Barbara County, California",1527,85,36316,4195
6083002706,"Census Tract 27.06, Santa Barbara County, California",1993,115,35399,4827
6083002707,"Census Tract 27.07, Santa Barbara County, California",982,77,43750,7112
6083002708,"Census Tract 27.08, Santa Barbara County, California",1200,79,45313,11564
6083002802,"Census Tract 28.02, Santa Barbara County, California",2623,138,74682,7827
6083002805,"Census Tract 28.05, Santa Barbara County, California",334,46,49800,29697
6083002806,"Census Tract 28.06, Santa Barbara County, California",563,63,72865,28122
6083002807,"Census Tract 28.07, Santa Barbara County, California",856,68,70136,17494
6083002808,"Census Tract 28.08, Santa Barbara County, California",2440,129,77818,5423
6083002809,"Census Tract 28.09, Santa Barbara County, California",1631,112,72014,16383
6083002902,"Census Tract 29.02, Santa Barbara County, California",1551,132,41974,23708
6083002903,"Census Tract 29.03, Santa Barbara County, California",867,100,67171,22710
6083002904,"Census Tract 29.04, Santa Barbara County, California",3258,156,65260,9427
6083002906,"Census Tract 29.06, Santa Barbara County, California",1474,77,84795,4809
6083002907,"Census Tract 29.07, Santa Barbara County, California",1378,66,104392,19494
6083002909,"Census Tract 29.09, Santa Barbara County, California",1740,100,71154,10015
6083002910,"Census Tract 29.10, Santa Barbara County, California",875,59,90781,15496
6083002911,"Census Tract 29.11, Santa Barbara County, California",1990,159,28889,3447
6083002912,"Census Tract 29.12, Santa Barbara County, California",1765,151,31040,4489
6083002913,"Census Tract 29.13, Santa Barbara County, California",1409,73,85378,14012
6083002914,"Census Tract 29.14, Santa Barbara County, California",1338,83,71154,15948
6083003001,"Census Tract 30.01, Santa Barbara County, California",1962,204,50948,3522
6083003002,"Census Tract 30.02, Santa Barbara County, California",1378,98,118611,15617
6083003004,"Census Tract 30.04, Santa Barbara County, California",1560,92,87800,17354
6083003005,"Census Tract 30.05, Santa Barbara County, California",1590,69,82692,15404
6085500100,"Census Tract 5001, Santa Clara County, California",1949,101,56782,7434
6085500200,"Census Tract 5002, Santa Clara County, California",2034,111,68966,10911
6085500300,"Census Tract 5003, Santa Clara County, California",1135,65,79330,11224
6085500400,"Census Tract 5004, Santa Clara County, California",1029,69,61513,5203
6085500500,"Census Tract 5005, Santa Clara County, California",1825,112,118469,22466
6085500600,"Census Tract 5006, Santa Clara County, California",2027,116,78784,10308
6085500800,"Census Tract 5008, Santa Clara County, California",1075,97,50466,6242
6085500901,"Census Tract 5009.01, Santa Clara County, California",1575,119,41227,10071
6085500902,"Census Tract 5009.02, Santa Clara County, California",512,96,33714,12498
6085501000,"Census Tract 5010, Santa Clara County, California",1876,135,41842,12210
6085501100,"Census Tract 5011, Santa Clara County, California",3073,162,73028,14349
6085501200,"Census Tract 5012, Santa Clara County, California",1346,88,47154,15650
6085501300,"Census Tract 5013, Santa Clara County, California",1151,73,74406,5533
6085501400,"Census Tract 5014, Santa Clara County, California",1778,133,44291,16752
6085501501,"Census Tract 5015.01, Santa Clara County, California",1137,49,37607,6574
6085501502,"Census Tract 5015.02, Santa Clara County, California",950,94,45481,14972
6085501600,"Census Tract 5016, Santa Clara County, California",2174,175,35427,5991
6085501700,"Census Tract 5017, Santa Clara County, California",1269,87,40487,6286
6085501800,"Census Tract 5018, Santa Clara County, California",1627,108,73482,8048
6085501900,"Census Tract 5019, Santa Clara County, California",1818,87,54583,13369
6085502001,"Census Tract 5020.01, Santa Clara County, California",2042,116,50825,3423
6085502002,"Census Tract 5020.02, Santa Clara County, California",1568,97,34788,6004
6085502101,"Census Tract 5021.01, Santa Clara County, California",2019,93,74531,17708
6085502102,"Census Tract 5021.02, Santa Clara County, California",2577,132,45054,6274
6085502201,"Census Tract 5022.01, Santa Clara County, California",2570,142,61420,14514
6085502202,"Census Tract 5022.02, Santa Clara County, California",1397,88,79148,9253
6085502300,"Census Tract 5023, Santa Clara County, California",2663,119,67858,6491
6085502400,"Census Tract 5024, Santa Clara County, California",2910,121,104620,8617
6085502500,"Census Tract 5025, Santa Clara County, California",2395,133,115313,19900
6085502601,"Census Tract 5026.01, Santa Clara County, California",1187,73,105457,21424
6085502602,"Census Tract 5026.02, Santa Clara County, California",3176,166,73640,7073
6085502701,"Census Tract 5027.01, Santa Clara County, California",1969,111,78405,17823
6085502702,"Census Tract 5027.02, Santa Clara County, California",3086,91,86210,8997
6085502800,"Census Tract 5028, Santa Clara County, California",1349,88,97829,5751
6085502901,"Census Tract 5029.01, Santa Clara County, California",2182,77,89625,10537
6085502902,"Census Tract 5029.02, Santa Clara County, California",2547,100,106250,11909
6085502903,"Census Tract 5029.03, Santa Clara County, California",1955,78,116420,10304
6085502906,"Census Tract 5029.06, Santa Clara County, California",1766,30,86968,8206
6085502907,"Census Tract 5029.07, Santa Clara County, California",1290,86,111143,10951
6085502908,"Census Tract 5029.08, Santa Clara County, California",2360,98,99514,9936
6085502909,"Census Tract 5029.09, Santa Clara County, California",2104,71,63477,10522
6085502910,"Census Tract 5029.10, Santa Clara County, California",1436,86,71011,11226
6085503001,"Census Tract 5030.01, Santa Clara County, California",1605,73,111741,19010
6085503002,"Census Tract 5030.02, Santa Clara County, California",1396,37,72610,5199
6085503003,"Census Tract 5030.03, Santa Clara County, California",1864,25,105833,13199
6085503103,"Census Tract 5031.03, Santa Clara County, California",4085,162,41319,3759
6085503105,"Census Tract 5031.05, Santa Clara County, California",755,37,36081,4738
6085503106,"Census Tract 5031.06, Santa Clara County, California",2395,124,51580,5424
6085503108,"Census Tract 5031.08, Santa Clara County, California",2738,133,71949,15468
6085503110,"Census Tract 5031.10, Santa Clara County, California",1107,56,37245,6795
6085503111,"Census Tract 5031.11, Santa Clara County, California",1041,71,71723,10933
6085503112,"Census Tract 5031.12, Santa Clara County, California",1237,98,44253,17808
6085503113,"Census Tract 5031.13, Santa Clara County, California",1228,64,39696,5736
6085503115,"Census Tract 5031.15, Santa Clara County, California",2154,105,95286,4756
6085503116,"Census Tract 5031.16, Santa Clara County, California",2025,103,86069,6603
6085503204,"Census Tract 5032.04, Santa Clara County, California",2108,94,54854,5590
6085503207,"Census Tract 5032.07, Santa Clara County, California",985,59,92686,25098
6085503208,"Census Tract 5032.08, Santa Clara County, California",784,55,71964,12388
6085503210,"Census Tract 5032.10, Santa Clara County, California",964,42,63135,5949
6085503211,"Census Tract 5032.11, Santa Clara County, California",1052,79,93889,20490
6085503212,"Census Tract 5032.12, Santa Clara County, California",960,35,85855,12912
6085503213,"Census Tract 5032.13, Santa Clara County, California",1227,45,46402,12957
6085503214,"Census Tract 5032.14, Santa Clara County, California",1487,114,51341,3883
6085503217,"Census Tract 5032.17, Santa Clara County, California",1038,72,51098,10577
6085503218,"Census Tract 5032.18, Santa Clara County, California",1130,69,37035,7750
6085503304,"Census Tract 5033.04, Santa Clara County, California",1826,77,44485,5357
6085503305,"Census Tract 5033.05, Santa Clara County, California",1437,63,50464,7330
6085503306,"Census Tract 5033.06, Santa Clara County, California",843,55,60855,15036
6085503312,"Census Tract 5033.12, Santa Clara County, California",989,53,91932,17411
6085503313,"Census Tract 5033.13, Santa Clara County, California",1419,22,124983,9416
6085503315,"Census Tract 5033.15, Santa Clara County, California",1889,81,73919,5315
6085503317,"Census Tract 5033.17, Santa Clara County, California",1967,59,83236,7522
6085503319,"Census Tract 5033.19, Santa Clara County, California",2908,126,149439,17234
6085503320,"Census Tract 5033.20, Santa Clara County, California",4060,75,74603,6765
6085503321,"Census Tract 5033.21, Santa Clara County, California",1050,46,117803,17299
6085503322,"Census Tract 5033.22, Santa Clara County, California",1059,21,91750,13906
6085503323,"Census Tract 5033.23, Santa Clara County, California",1221,28,113578,8989
6085503324,"Census Tract 5033.24, Santa Clara County, California",893,53,87656,20758
6085503325,"Census Tract 5033.25, Santa Clara County, California",1071,87,98750,20361
6085503326,"Census Tract 5033.26, Santa Clara County, California",1499,70,150662,15901
6085503327,"Census Tract 5033.27, Santa Clara County, California",1280,100,87431,10809
6085503328,"Census Tract 5033.28, Santa Clara County, California",3820,70,145139,17492
6085503401,"Census Tract 5034.01, Santa Clara County, California",946,87,75822,4668
6085503402,"Census Tract 5034.02, Santa Clara County, California",1025,36,41875,21360
6085503504,"Census Tract 5035.04, Santa Clara County, California",1154,35,59914,16919
6085503506,"Census Tract 5035.06, Santa Clara County, California",1179,98,65208,22010
6085503507,"Census Tract 5035.07, Santa Clara County, California",321,38,79665,21187
6085503508,"Census Tract 5035.08, Santa Clara County, California",1206,100,63630,11046
6085503509,"Census Tract 5035.09, Santa Clara County, California",905,39,84028,14304
6085503510,"Census Tract 5035.10, Santa Clara County, California",1399,54,56031,19909
6085503511,"Census Tract 5035.11, Santa Clara County, California",769,69,81675,24740
6085503601,"Census Tract 5036.01, Santa Clara County, California",920,64,41563,8308
6085503602,"Census Tract 5036.02, Santa Clara County, California",1081,77,30720,9943
6085503702,"Census Tract 5037.02, Santa Clara County, California",1862,106,43655,3046
6085503703,"Census Tract 5037.03, Santa Clara County, California",812,94,45789,9162
6085503706,"Census Tract 5037.06, Santa Clara County, California",2292,128,39362,10486
6085503707,"Census Tract 5037.07, Santa Clara County, California",1366,77,57448,15116
6085503708,"Census Tract 5037.08, Santa Clara County, California",702,51,82700,11654
6085503709,"Census Tract 5037.09, Santa Clara County, California",1316,73,30192,8737
6085503802,"Census Tract 5038.02, Santa Clara County, California",2181,108,62135,8303
6085503803,"Census Tract 5038.03, Santa Clara County, California",1377,53,99279,10265
6085503804,"Census Tract 5038.04, Santa Clara County, California",1466,83,73571,13673
6085503900,"Census Tract 5039, Santa Clara County, California",2128,131,60047,15289
6085504001,"Census Tract 5040.01, Santa Clara County, California",1567,81,61477,11909
6085504002,"Census Tract 5040.02, Santa Clara County, California",1183,71,53832,7865
6085504101,"Census Tract 5041.01, Santa Clara County, California",891,71,68958,28589
6085504102,"Census Tract 5041.02, Santa Clara County, California",1245,78,68664,19142
6085504201,"Census Tract 5042.01, Santa Clara County, California",1643,81,85795,17299
6085504202,"Census Tract 5042.02, Santa Clara County, California",1381,102,107361,33041
6085504307,"Census Tract 5043.07, Santa Clara County, California",1700,33,84479,10941
6085504308,"Census Tract 5043.08, Santa Clara County, California",1476,60,101808,7621
6085504310,"Census Tract 5043.10, Santa Clara County, California",3625,166,96281,10032
6085504311,"Census Tract 5043.11, Santa Clara County, California",2415,46,101435,18571
6085504314,"Census Tract 5043.14, Santa Clara County, California",1270,40,85417,19474
6085504315,"Census Tract 5043.15, Santa Clara County, California",2051,36,70583,16937
6085504316,"Census Tract 5043.16, Santa Clara County, California",1384,26,83614,4389
6085504317,"Census Tract 5043.17, Santa Clara County, California",1255,61,106654,7068
6085504318,"Census Tract 5043.18, Santa Clara County, California",1286,137,68214,18876
6085504319,"Census Tract 5043.19, Santa Clara County, California",1901,58,102207,9167
6085504320,"Census Tract 5043.20, Santa Clara County, California",841,25,93718,12705
6085504321,"Census Tract 5043.21, Santa Clara County, California",1566,42,84575,8216
6085504410,"Census Tract 5044.10, Santa Clara County, California",1187,68,76174,17644
6085504411,"Census Tract 5044.11, Santa Clara County, California",1530,58,84526,18648
6085504412,"Census Tract 5044.12, Santa Clara County, California",1230,92,69318,14634
6085504413,"Census Tract 5044.13, Santa Clara County, California",730,27,86136,20882
6085504414,"Census Tract 5044.14, Santa Clara County, California",1418,78,112500,27354
6085504415,"Census Tract 5044.15, Santa Clara County, California",1619,49,128083,12780
6085504416,"Census Tract 5044.16, Santa Clara County, California",1081,84,103264,15746
6085504417,"Census Tract 5044.17, Santa Clara County, California",691,69,109196,22392
6085504418,"Census Tract 5044.18, Santa Clara County, California",1217,85,68064,6067
6085504420,"Census Tract 5044.20, Santa Clara County, California",1311,87,102361,33532
6085504421,"Census Tract 5044.21, Santa Clara County, California",1325,75,100117,11285
6085504422,"Census Tract 5044.22, Santa Clara County, California",1278,43,74167,11702
6085504504,"Census Tract 5045.04, Santa Clara County, California",1856,144,93617,8842
6085504505,"Census Tract 5045.05, Santa Clara County, California",1033,75,83675,15137
6085504506,"Census Tract 5045.06, Santa Clara County, California",1969,139,79250,16908
6085504507,"Census Tract 5045.07, Santa Clara County, California",1682,59,93333,11432
6085504601,"Census Tract 5046.01, Santa Clara County, California",462,78,54625,22167
6085504602,"Census Tract 5046.02, Santa Clara County, California",747,57,50347,33873
6085504700,"Census Tract 5047, Santa Clara County, California",47,48,151250,15917
6085504802,"Census Tract 5048.02, Santa Clara County, California",1554,138,77778,16413
6085504803,"Census Tract 5048.03, Santa Clara County, California",2240,109,84054,21414
6085504805,"Census Tract 5048.05, Santa Clara County, California",2185,87,69714,6742
6085504806,"Census Tract 5048.06, Santa Clara County, California",720,28,82422,19805
6085504901,"Census Tract 5049.01, Santa Clara County, California",2839,134,129266,15564
6085505001,"Census Tract 5050.01, Santa Clara County, California",3025,194,111572,4794
6085505005,"Census Tract 5050.05, Santa Clara County, California",4289,204,90449,3417
6085505006,"Census Tract 5050.06, Santa Clara County, California",1846,119,119588,8858
6085505007,"Census Tract 5050.07, Santa Clara County, California",931,58,82625,23481
6085505100,"Census Tract 5051, Santa Clara County, California",1281,63,70189,9829
6085505202,"Census Tract 5052.02, Santa Clara County, California",2020,129,48352,9264
6085505203,"Census Tract 5052.03, Santa Clara County, California",1000,88,67188,25213
6085505301,"Census Tract 5053.01, Santa Clara County, California",1312,47,67045,23045
6085505302,"Census Tract 5053.02, Santa Clara County, California",1315,92,94375,19829
6085505303,"Census Tract 5053.03, Santa Clara County, California",2094,103,68222,7693
6085505304,"Census Tract 5053.04, Santa Clara County, California",1024,52,100231,7718
6085505305,"Census Tract 5053.05, Santa Clara County, California",1997,114,63994,20096
6085505401,"Census Tract 5054.01, Santa Clara County, California",2375,103,87070,11596
6085505402,"Census Tract 5054.02, Santa Clara County, California",1116,73,65530,11357
6085505403,"Census Tract 5054.03, Santa Clara County, California",2625,113,88024,5576
6085505500,"Census Tract 5055, Santa Clara County, California",1487,109,73294,10398
6085505600,"Census Tract 5056, Santa Clara County, California",1108,95,43372,20073
6085505700,"Census Tract 5057, Santa Clara County, California",2237,87,55669,6706
6085505800,"Census Tract 5058, Santa Clara County, California",1532,105,79405,16902
6085505900,"Census Tract 5059, Santa Clara County, California",2944,136,70968,11349
6085506000,"Census Tract 5060, Santa Clara County, California",2018,58,93816,18483
6085506101,"Census Tract 5061.01, Santa Clara County, California",1678,64,90714,11511
6085506102,"Census Tract 5061.02, Santa Clara County, California",1502,53,90313,17529
6085506103,"Census Tract 5061.03, Santa Clara County, California",1677,53,109931,13225
6085506202,"Census Tract 5062.02, Santa Clara County, California",2507,80,107438,16358
6085506203,"Census Tract 5062.03, Santa Clara County, California",2422,155,69190,11922
6085506204,"Census Tract 5062.04, Santa Clara County, California",2173,68,74891,7219
6085506301,"Census Tract 5063.01, Santa Clara County, California",2300,197,55368,8905
6085506302,"Census Tract 5063.02, Santa Clara County, California",2423,138,95189,12323
6085506304,"Census Tract 5063.04, Santa Clara County, California",2067,140,67512,10302
6085506305,"Census Tract 5063.05, Santa Clara County, California",2660,77,64894,13699
6085506401,"Census Tract 5064.01, Santa Clara County, California",1880,92,62096,17432
6085506402,"Census Tract 5064.02, Santa Clara County, California",2214,98,42233,11604
6085506501,"Census Tract 5065.01, Santa Clara County, California",2434,132,59677,5866
6085506502,"Census Tract 5065.02, Santa Clara County, California",1886,123,70323,13794
6085506503,"Census Tract 5065.03, Santa Clara County, California",2639,130,59150,10447
6085506601,"Census Tract 5066.01, Santa Clara County, California",1660,97,67297,14429
6085506603,"Census Tract 5066.03, Santa Clara County, California",1448,31,94958,18784
6085506604,"Census Tract 5066.04, Santa Clara County, California",2681,92,98688,18088
6085506605,"Census Tract 5066.05, Santa Clara County, California",1518,67,66574,8752
6085506606,"Census Tract 5066.06, Santa Clara County, California",1634,94,65833,18073
6085506701,"Census Tract 5067.01, Santa Clara County, California",1351,63,113393,16831
6085506702,"Census Tract 5067.02, Santa Clara County, California",2000,132,81737,15970
6085506703,"Census Tract 5067.03, Santa Clara County, California",1324,66,79619,10610
6085506801,"Census Tract 5068.01, Santa Clara County, California",1971,136,111058,16029
6085506802,"Census Tract 5068.02, Santa Clara County, California",1945,68,96645,14202
6085506803,"Census Tract 5068.03, Santa Clara County, California",2520,72,105342,8608
6085506804,"Census Tract 5068.04, Santa Clara County, California",1311,53,110050,11512
6085506900,"Census Tract 5069, Santa Clara County, California",2581,115,146875,9546
6085507001,"Census Tract 5070.01, Santa Clara County, California",2800,165,129539,13971
6085507002,"Census Tract 5070.02, Santa Clara County, California",951,64,167829,39309
6085507100,"Census Tract 5071, Santa Clara County, California",1202,91,73611,17079
6085507203,"Census Tract 5072.03, Santa Clara County, California",857,59,114596,25764
6085507205,"Census Tract 5072.05, Santa Clara County, California",1761,92,128080,20997
6085507206,"Census Tract 5072.06, Santa Clara County, California",905,162,167083,68207
6085507301,"Census Tract 5073.01, Santa Clara County, California",2392,94,124886,14392
6085507302,"Census Tract 5073.02, Santa Clara County, California",954,71,162917,73785
6085507401,"Census Tract 5074.01, Santa Clara County, California",1844,75,149348,9135
6085507402,"Census Tract 5074.02, Santa Clara County, California",1409,75,132250,16159
6085507500,"Census Tract 5075, Santa Clara County, California",1956,59,157632,22114
6085507600,"Census Tract 5076, Santa Clara County, California",1981,72,143682,26577
6085507701,"Census Tract 5077.01, Santa Clara County, California",1243,81,145052,22888
6085507702,"Census Tract 5077.02, Santa Clara County, California",1841,99,164427,19481
6085507703,"Census Tract 5077.03, Santa Clara County, California",2262,126,130395,15908
6085507805,"Census Tract 5078.05, Santa Clara County, California",1603,95,91887,8681
6085507806,"Census Tract 5078.06, Santa Clara County, California",1749,121,113875,8559
6085507807,"Census Tract 5078.07, Santa Clara County, California",971,31,129191,22284
6085507808,"Census Tract 5078.08, Santa Clara County, California",1596,90,143900,14885
6085507903,"Census Tract 5079.03, Santa Clara County, California",1668,55,123986,11293
6085507904,"Census Tract 5079.04, Santa Clara County, California",1094,58,168846,28699
6085507905,"Census Tract 5079.05, Santa Clara County, California",2106,113,107128,8579
6085507906,"Census Tract 5079.06, Santa Clara County, California",1449,56,130564,9182
6085508001,"Census Tract 5080.01, Santa Clara County, California",2507,132,113068,20678
6085508002,"Census Tract 5080.02, Santa Clara County, California",2702,152,97813,14811
6085508101,"Census Tract 5081.01, Santa Clara County, California",2171,92,118365,9302
6085508102,"Census Tract 5081.02, Santa Clara County, California",1111,49,108021,18096
6085508202,"Census Tract 5082.02, Santa Clara County, California",2688,121,104800,10295
6085508203,"Census Tract 5082.03, Santa Clara County, California",1743,46,111325,7234
6085508204,"Census Tract 5082.04, Santa Clara County, California",1419,75,112716,8058
6085508301,"Census Tract 5083.01, Santa Clara County, California",1438,57,143571,14803
6085508303,"Census Tract 5083.03, Santa Clara County, California",842,35,130966,4973
6085508304,"Census Tract 5083.04, Santa Clara County, California",2531,138,68493,9935
6085508401,"Census Tract 5084.01, Santa Clara County, California",2351,92,100116,17665
6085508403,"Census Tract 5084.03, Santa Clara County, California",936,47,155882,23712
6085508404,"Census Tract 5084.04, Santa Clara County, California",2200,86,96964,16897
6085508503,"Census Tract 5085.03, Santa Clara County, California",2605,132,83598,7897
6085508504,"Census Tract 5085.04, Santa Clara County, California",2944,127,83977,11386
6085508505,"Census Tract 5085.05, Santa Clara County, California",1797,75,105438,14477
6085508506,"Census Tract 5085.06, Santa Clara County, California",3238,96,81238,7303
6085508601,"Census Tract 5086.01, Santa Clara County, California",1298,74,110313,34506
6085508602,"Census Tract 5086.02, Santa Clara County, California",1695,72,73750,9054
6085508703,"Census Tract 5087.03, Santa Clara County, California",2716,148,94595,10617
6085508704,"Census Tract 5087.04, Santa Clara County, California",2129,135,84583,11185
6085508800,"Census Tract 5088, Santa Clara County, California",1335,80,83168,14159
6085508900,"Census Tract 5089, Santa Clara County, California",1683,72,67781,12393
6085509000,"Census Tract 5090, Santa Clara County, California",2392,83,67277,11862
6085509102,"Census Tract 5091.02, Santa Clara County, California",2139,124,100123,15868
6085509105,"Census Tract 5091.05, Santa Clara County, California",2664,124,85592,21526
6085509106,"Census Tract 5091.06, Santa Clara County, California",1515,93,83766,5062
6085509107,"Census Tract 5091.07, Santa Clara County, California",2002,79,81806,9357
6085509108,"Census Tract 5091.08, Santa Clara County, California",1645,133,73830,5832
6085509109,"Census Tract 5091.09, Santa Clara County, California",1853,119,119020,12269
6085509201,"Census Tract 5092.01, Santa Clara County, California",2097,153,72192,8505
6085509202,"Census Tract 5092.02, Santa Clara County, California",1674,110,96522,12812
6085509302,"Census Tract 5093.02, Santa Clara County, California",1012,44,100556,22418
6085509303,"Census Tract 5093.03, Santa Clara County, California",1641,80,64821,21135
6085509304,"Census Tract 5093.04, Santa Clara County, California",1141,59,104511,24666
6085509401,"Census Tract 5094.01, Santa Clara County, California",1460,104,55625,5417
6085509403,"Census Tract 5094.03, Santa Clara County, California",1966,103,55500,10709
6085509404,"Census Tract 5094.04, Santa Clara County, California",2734,93,97930,6260
6085509500,"Census Tract 5095, Santa Clara County, California",2137,130,72711,8137
6085509600,"Census Tract 5096, Santa Clara County, California",1332,95,128056,23930
6085509700,"Census Tract 5097, Santa Clara County, California",1384,62,83839,10048
6085509801,"Census Tract 5098.01, Santa Clara County, California",2075,92,117601,29305
6085509802,"Census Tract 5098.02, Santa Clara County, California",1050,69,119224,26071
6085509901,"Census Tract 5099.01, Santa Clara County, California",642,55,129583,29638
6085509902,"Census Tract 5099.02, Santa Clara County, California",1721,89,108375,20193
6085510001,"Census Tract 5100.01, Santa Clara County, California",2005,66,162411,28865
6085510002,"Census Tract 5100.02, Santa Clara County, California",1226,50,157857,24044
6085510100,"Census Tract 5101, Santa Clara County, California",1065,32,187042,39578
6085510200,"Census Tract 5102, Santa Clara County, California",1471,37,177396,22724
6085510300,"Census Tract 5103, Santa Clara County, California",1534,94,160000,28314
6085510400,"Census Tract 5104, Santa Clara County, California",1117,29,154647,19082
6085510500,"Census Tract 5105, Santa Clara County, California",1628,78,123088,13088
6085510600,"Census Tract 5106, Santa Clara County, California",2078,94,110278,15351
6085510700,"Census Tract 5107, Santa Clara County, California",1628,90,94231,8073
6085510801,"Census Tract 5108.01, Santa Clara County, California",1527,69,155625,15940
6085510802,"Census Tract 5108.02, Santa Clara County, California",832,28,112794,10970
6085510803,"Census Tract 5108.03, Santa Clara County, California",919,63,99135,20559
6085510900,"Census Tract 5109, Santa Clara County, California",1754,95,131429,25421
6085511000,"Census Tract 5110, Santa Clara County, California",2090,108,111875,17649
6085511100,"Census Tract 5111, Santa Clara County, California",1740,62,172692,25254
6085511200,"Census Tract 5112, Santa Clara County, California",1621,69,226509,24987
6085511300,"Census Tract 5113, Santa Clara County, California",3612,182,98235,14815
6085511400,"Census Tract 5114, Santa Clara County, California",1249,63,162125,22263
6085511500,"Census Tract 5115, Santa Clara County, California",2616,123,132833,20100
6085511604,"Census Tract 5116.04, Santa Clara County, California",1726,127,89118,18213
6085511605,"Census Tract 5116.05, Santa Clara County, California",142,53,58750,13871
6085511606,"Census Tract 5116.06, Santa Clara County, California",1529,180,30670,3627
6085511607,"Census Tract 5116.07, Santa Clara County, California",477,73,29088,5717
6085511701,"Census Tract 5117.01, Santa Clara County, California",1348,98,214274,53720
6085511702,"Census Tract 5117.02, Santa Clara County, California",908,61,168750,30374
6085511703,"Census Tract 5117.03, Santa Clara County, California",2921,143,179955,43262
6085511800,"Census Tract 5118, Santa Clara County, California",1505,108,118267,14731
6085511901,"Census Tract 5119.01, Santa Clara County, California",2996,108,68148,12762
6085511905,"Census Tract 5119.05, Santa Clara County, California",1113,23,102346,22220
6085511907,"Census Tract 5119.07, Santa Clara County, California",1362,33,129938,10208
6085511909,"Census Tract 5119.09, Santa Clara County, California",2706,62,159900,28650
6085511910,"Census Tract 5119.10, Santa Clara County, California",1093,40,150893,31165
6085511911,"Census Tract 5119.11, Santa Clara County, California",1782,72,90833,20874
6085511912,"Census Tract 5119.12, Santa Clara County, California",1803,44,154063,21409
6085511913,"Census Tract 5119.13, Santa Clara County, California",1480,37,144762,22102
6085511914,"Census Tract 5119.14, Santa Clara County, California",1960,62,136509,10086
6085512001,"Census Tract 5120.01, Santa Clara County, California",2023,43,132689,11946
6085512002,"Census Tract 5120.02, Santa Clara County, California",2442,111,90459,16679
6085512005,"Census Tract 5120.05, Santa Clara County, California",2240,68,102935,15826
6085512014,"Census Tract 5120.14, Santa Clara County, California",1889,46,100375,10903
6085512015,"Census Tract 5120.15, Santa Clara County, California",1783,40,106094,11485
6085512016,"Census Tract 5120.16, Santa Clara County, California",3311,127,76396,6861
6085512017,"Census Tract 5120.17, Santa Clara County, California",1897,103,83324,9804
6085512018,"Census Tract 5120.18, Santa Clara County, California",2571,104,47786,12146
6085512019,"Census Tract 5120.19, Santa Clara County, California",1815,41,86395,9705
6085512020,"Census Tract 5120.20, Santa Clara County, California",2799,103,68250,11993
6085512021,"Census Tract 5120.21, Santa Clara County, California",2104,67,93795,14637
6085512022,"Census Tract 5120.22, Santa Clara County, California",1812,79,59211,6675
6085512023,"Census Tract 5120.23, Santa Clara County, California",1975,74,70284,10982
6085512024,"Census Tract 5120.24, Santa Clara County, California",1662,90,77721,5773
6085512025,"Census Tract 5120.25, Santa Clara County, California",867,16,108021,11072
6085512026,"Census Tract 5120.26, Santa Clara County, California",1633,30,70819,22411
6085512027,"Census Tract 5120.27, Santa Clara County, California",1618,65,61136,9917
6085512028,"Census Tract 5120.28, Santa Clara County, California",2706,105,95750,11280
6085512029,"Census Tract 5120.29, Santa Clara County, California",2382,67,85469,16103
6085512030,"Census Tract 5120.30, Santa Clara County, California",951,56,120516,23060
6085512031,"Census Tract 5120.31, Santa Clara County, California",1354,61,115000,13549
6085512032,"Census Tract 5120.32, Santa Clara County, California",1075,32,115250,10107
6085512033,"Census Tract 5120.33, Santa Clara County, California",1971,114,99986,21618
6085512034,"Census Tract 5120.34, Santa Clara County, California",1070,23,86656,5426
6085512035,"Census Tract 5120.35, Santa Clara County, California",1394,53,106972,11656
6085512100,"Census Tract 5121, Santa Clara County, California",496,72,114141,10691
6085512200,"Census Tract 5122, Santa Clara County, California",1537,110,110057,15282
6085512304,"Census Tract 5123.04, Santa Clara County, California",3135,184,88821,11511
6085512305,"Census Tract 5123.05, Santa Clara County, California",1205,79,175139,39916
6085512306,"Census Tract 5123.06, Santa Clara County, California",3090,157,61674,12691
